effective_date,lower_percent,upper_percent
2023-07-03,5.0,5.25
2023-07-27,5.25,5.5
2024-09-19,4.75,5.0
2024-11-08,4.5,4.75
2024-12-19,4.25,4.5
2025-09-18,4.0,4.25
2025-10-30,3.75,4.0
2025-12-11,3.5,3.75
2026-09-17,3.75,4.0
2026-09-18,3.75,4.0
